train_loss,valid_loss,metric,model,criterion,epoch
0.6737495561440786,0.6943790912628174,0.4000274538993835,SegNet,BCELoss,1
0.6172723869482676,0.6931480169296265,6.122366611079066e-13,SegNet,BCELoss,2
0.5973391632239023,0.6841486692428589,0.0637333691120147,SegNet,BCELoss,3
0.586320161819458,0.6076043844223022,0.5581995844841003,SegNet,BCELoss,4
0.5939781665802002,0.5941615700721741,0.581542432308197,SegNet,BCELoss,5
0.5868905782699585,0.5931787490844727,0.5986235737800598,SegNet,BCELoss,6
0.5807204047838846,0.5800496339797974,0.6531939506530762,SegNet,BCELoss,7
0.5853511095046997,0.5741071701049805,0.675757884979248,SegNet,BCELoss,8
0.5820261836051941,0.5830435156822205,0.6216603517532349,SegNet,BCELoss,9
0.5789949397246043,0.5892207622528076,0.6095077991485596,SegNet,BCELoss,10
0.5717554092407227,0.5759438872337341,0.6622942686080933,SegNet,BCELoss,11
0.581906259059906,0.5742606520652771,0.6706016659736633,SegNet,BCELoss,12
0.573901762564977,0.5718412399291992,0.7047470808029175,SegNet,BCELoss,13
0.5727924108505249,0.5651292204856873,0.668251633644104,SegNet,BCELoss,14
0.5745254854361216,0.5765075087547302,0.6947588324546814,SegNet,BCELoss,15
0.5759224991003672,0.5737671852111816,0.6897483468055725,SegNet,BCELoss,16
0.5680740177631378,0.5806019306182861,0.6593980193138123,SegNet,BCELoss,17
0.578048974275589,0.564870297908783,0.7145879864692688,SegNet,BCELoss,18
0.5707970162232717,0.5712352395057678,0.671090304851532,SegNet,BCELoss,19
0.5685638686021169,0.5727108716964722,0.7027550935745239,SegNet,BCELoss,20
0.7962259153525034,0.774063229560852,6.12681997150256e-13,SegNet,bce_loss,1
0.782279372215271,0.774063229560852,6.12681997150256e-13,SegNet,bce_loss,2
0.7796923617521921,0.7673972249031067,0.2106910496950149,SegNet,bce_loss,3
0.7752198278903961,0.7460907101631165,0.6143196821212769,SegNet,bce_loss,4
0.7774129211902618,0.7637830972671509,0.4916395545005798,SegNet,bce_loss,5
0.7798079550266266,0.7495649456977844,0.6196653842926025,SegNet,bce_loss,6
0.778848777214686,0.7516781687736511,0.6075788140296936,SegNet,bce_loss,7
0.7748116155465444,0.7540891766548157,0.5521482229232788,SegNet,bce_loss,8
0.7741866211096445,0.7454597353935242,0.667868971824646,SegNet,bce_loss,9
0.7765079935391744,0.7477171421051025,0.6523849368095398,SegNet,bce_loss,10
0.7747057676315308,0.7495205402374268,0.6027361154556274,SegNet,bce_loss,11
0.7766296168168386,0.7470410466194153,0.6533200144767761,SegNet,bce_loss,12
0.7764255205790201,0.7466194033622742,0.6862516403198242,SegNet,bce_loss,13
0.7730406920115153,0.7446098327636719,0.6716259121894836,SegNet,bce_loss,14
0.7759116490681967,0.7470066547393799,0.670884907245636,SegNet,bce_loss,15
0.7782253722349802,0.7451270818710327,0.6688024997711182,SegNet,bce_loss,16
0.7751261095205942,0.7484837174415588,0.7034602165222168,SegNet,bce_loss,17
0.7764943142731985,0.7471500039100647,0.6909283399581909,SegNet,bce_loss,18
0.7736730476220449,0.7522066235542297,0.5330642461776733,SegNet,bce_loss,19
0.772545705238978,0.7457414269447327,0.704071581363678,SegNet,bce_loss,20
